Title,Date,Category,URL
წულუკიანმა იულონ გაგოშიძე ხელოვნების მუზეუმიდან გაათავისუფლა,"სამშაბათი, 24 მაისი, 2022 - 20:19",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/04/279338559_2767312666734070_5709775660644477692_n.jpg?itok=WkylUiNV
"""ტაშს ვუკრავ აშშ-ს საელჩოს ასეთი ქმედებისთვის"" - კელი მოსამართლე ჩხიკვაძის პროგრამიდან მოხსნაზე","სამშაბათი, 24 მაისი, 2022 - 19:54",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/sheerteba-38.jpg?itok=1AqslDOZ
"""ნუ იყიდით მოპარულს"" - კულებას თქმით, რუსები მარცვლეულს იპარავენ და ცდილობენ საზღვარგარეთ გაყიდვას","სამშაბათი, 24 მაისი, 2022 - 19:40",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/kuleba.jpg?itok=SBY-SfST
"გულგასატეხი იყო ჩემთვის, რომ ასეთი შთაბეჭდილება დავუტოვე - იან კელი წულუკიანის ბრალდებაზე","სამშაბათი, 24 მაისი, 2022 - 19:28",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/sheerteba-3.jpg?itok=QAuYHio-
"დახმარების ახალი პაკეტი- მომდევნო ერთი წელი, უკრაინა ევროკავშირში საქონლის შეტანისთვის გადასახადებს არ გადაიხდის ","სამშაბათი, 24 მაისი, 2022 - 19:09",უკრაინა 🇺🇦✊,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/03/uk-eu.jpg?itok=kGp6EHRu
"ქართველი ხალხი იმსახურებს, გახდეს ევროპული ოჯახის განუყოფელი ნაწილი - ""დროას"" წერილი EU-ს","სამშაბათი, 24 მაისი, 2022 - 19:06",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/bc619f69b8031af.png.jpg?itok=svvIK2Ly
"არმიაზე ""ცრუ"" ინფორმაციის გავრცელებისთვის, რუსეთში 53 სისხლის სამართლის საქმე აღიძრა","სამშაბათი, 24 მაისი, 2022 - 19:00",უცხოეთი,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/photo5794019463828453662.jpg?itok=Q8aMTUEP
"""ოცნება"" გადაწყვეტილებებს იმის მიხედვით იღებს,  გაანაწყენებს თუ არა ეს პუტინს - კრამერი და კელი","სამშაბათი, 24 მაისი, 2022 - 18:45",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/sheerteba-2_0.jpg?itok=qxiHhEQE
" ""ვივა მედი"" მიხეილ სააკაშვილთან დაკავშირებით განცხადებას ავრცელებს","სამშაბათი, 24 მაისი, 2022 - 18:39",საზოგადოება,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/2.-zura-mikheil-saakashvili-klinikashi.jpg?itok=R15D77YH
"ციხეში გაუარესდა მიხეილ სააკაშვილის ჯანმრთელობის მდგომარეობა, მან განიცადა არასათანადო მოპყრობა - კელი და კრამერი","სამშაბათი, 24 მაისი, 2022 - 18:28",პოლიტიკა,https://api.mtavari.tv/files/styles/news_thumb_md/public/photos/2022/05/tsikheshi-mishastan-ertad.jpg?itok=-P658qFF
